A2: field_name ,B2: property_value ,C2: field_ref ,D2: relations: field_name,E2: relations: fproperty_value,F2: relations: field_ref
Industry,Computer Networking,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Hardware & Networking,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Nanotechnology,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Hardware & Networking,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Semiconductors,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Hardware & Networking,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Telecommunications,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Hardware & Networking,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Wireless,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Hardware & Networking,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Biotechnology,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Health Care,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Hospital & Health Care,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Health Care,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Medical Device,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Health Care,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Medical Practice,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Health Care,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Mental Health Care,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Health Care,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Pharmaceuticals,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Health Care,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Veterinary,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Health Care,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Alternative Dispute Resolution,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Legal,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Law Practice,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Legal,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Legal Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Legal,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Automotive,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Aviation & Aerospace,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Chemicals,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Defense & Space,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Electrical & Electronic Manufacturing,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Food Production,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,"Glass, Ceramics & Concrete",/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Industrial Automation,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Machinery,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Mechanical Or Industrial Engineering,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Packaging & Containers,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Paper & Forest Products,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Plastics,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Railroad Manufacture,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Renewables & Environment,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Shipbuilding,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Textiles,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Manufacturing,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Market Research,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Media & Communications,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Marketing &vertising,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Media & Communications,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Newspapers,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Media & Communications,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Online Media,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Media & Communications,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Printing,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Media & Communications,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Public Relations & Communications,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Media & Communications,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Publishing,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Media & Communications,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Translation & Localization,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Media & Communications,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Writing & Editing,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Media & Communications,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Civic & Social Organization,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Fundraising,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Individual & Family Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,International Trade & Development,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Libraries,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Museums & Institutions,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Non-profit Organization Management,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Philanthropy,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Program Development,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Religious Institutions,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Think Tanks,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Nonprofit,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Governmentministration,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Publicministration,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Government Relations,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Publicministration,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,International Affairs,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Publicministration,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Judiciary,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Publicministration,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Legislative Office,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Publicministration,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Political Organization,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Publicministration,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Public Policy,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Publicministration,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Law Enforcement,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Public Safety,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Military,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Public Safety,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Public Safety,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Public Safety,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Commercial Real Estate,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Real Estate,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Real Estate,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Real Estate,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Airlines/Aviation,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Recreation & Travel,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Gambling & Casinos,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Recreation & Travel,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Hospitality,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Recreation & Travel,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,"Leisure, Travel & Tourism",/fields/XrcMO9kfRnz3X63BqgHg,Sector,Recreation & Travel,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Recreational Facilities & Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Recreation & Travel,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Restaurants,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Recreation & Travel,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Sports,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Recreation & Travel,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Retail,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Retail,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Supermarkets,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Retail,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Wholesale,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Retail,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Computer & Network Security,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Software & IT Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Computer Software,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Software & IT Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Information Technology & Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Software & IT Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Internet,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Software & IT Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Import & Export,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Transportation & Logistics,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Logistics & Supply Chain,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Transportation & Logistics,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Maritime,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Transportation & Logistics,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Package/Freight Delivery,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Transportation & Logistics,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Transportation/Trucking/Railroad,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Transportation & Logistics,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Warehousing,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Transportation & Logistics,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Alternative Medicine,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Wellness & Fitness,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,"Health, Wellness & Fitness",/fields/XrcMO9kfRnz3X63BqgHg,Sector,Wellness & Fitness,/fields/GfEh2bq4cP2ftJo2pj6M
Job Title,Academic Director,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Education,/fields/js6troth06SYd20onz9L
Job Title,Academic Director Reporting Manager,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Education,/fields/js6troth06SYd20onz9L
Job Title,Academic Tutor,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Education,/fields/js6troth06SYd20onz9L
Job Title,Account Assistant,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Account Executive,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
Job Title,Account Manager,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
Job Title,Account Planner,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
Job Title,Account Services Representative,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
Job Title,Account Specialist,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
Job Title,Accountant,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
Job Title,Accounting Analyst,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Assistant,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Associate,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Clerk,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Coordinator,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Intern,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Manager,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Payroll Manager,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Representative,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Specialist,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounting Supervisor,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Accounts Payable Accountant,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
Job Title,Accounts Payableministrator,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
Job Title,Activities Coordinator,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Unknown,/fields/js6troth06SYd20onz9L
Job Title,Actor,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Media and Communication,/fields/js6troth06SYd20onz9L
Job Title,Actor Model,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Media and Communication,/fields/js6troth06SYd20onz9L
Job Title,Actuary,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Adjunct Instructor,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Education,/fields/js6troth06SYd20onz9L
Job Title,Adjunct Professor,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Education,/fields/js6troth06SYd20onz9L
Job Title,Adjunct Professor Of Computer Science,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Education,/fields/js6troth06SYd20onz9L
Job Title,Administrative Assistant,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Administrative Assistant to Director,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Administrative Associate,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Administrative Coordinator,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Administrative Fellow,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Administrative Officer,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Administrative Resident,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Administrative Secretary,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Administrative Support Specialist,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Administrative,/fields/js6troth06SYd20onz9L
Job Title,Administrator,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Accounting,/fields/js6troth06SYd20onz9L
Job Title,Admissions Counselor,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Legal,/fields/js6troth06SYd20onz9L
Job Title,Admitting Clerk,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Support,/fields/js6troth06SYd20onz9L
Job Title,Advanced Engineer,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Engineering,/fields/js6troth06SYd20onz9L
Job Title,Advanced Practice Nurse,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Healthcare Services,/fields/js6troth06SYd20onz9L
Job Title,Advancement Officer,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Unknown,/fields/js6troth06SYd20onz9L
Job Title,Advertising Sales Executive,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
Job Title,Advertising Specialist,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Unknown,/fields/js6troth06SYd20onz9L
Job Title,Advisor,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Unknown,/fields/js6troth06SYd20onz9L
Job Title,Advisory Consultant,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Consulting,/fields/js6troth06SYd20onz9L
Job Title,Advisory Manager,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Unknown,/fields/js6troth06SYd20onz9L
Job Title,Advocate,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Unknown,/fields/js6troth06SYd20onz9L
Job Title,Agency Account Manager,/fields/2XlwlPA4bVVBuF0wfmiK,Department,Sales,/fields/js6troth06SYd20onz9L
